mass,lifetime,type,Z,mass_final,remnant_mass,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U
15.0,7939000.0,hn,0.0,15.0,1.436,0.5482753668827732,0.3544539328054023,3.455867379849527e-07,2.2907977308036365e-13,1.571208444023957e-08,0.0101811620782725,1.3087178989094129e-06,0.0521022619631623,4.819579276486664e-07,0.0132306248308055,9.873154092377624e-05,0.0037455209642063,0.0001075259010631,0.0048645887039967,1.2040410217470347e-05,0.0029261702947874,3.0613578715276827e-06,0.0005103657122721,1.6189948250043087e-06,0.0004413744732595,3.019522686390177e-07,1.905972952884856e-05,2.030351557679073e-06,7.640809391610779e-05,1.3749924880037162e-05,0.0083690082376434,4.90285170789e-05,0.0004849910495487,1.2600979021640133e-05,1.6252832745825438e-05,6.670701639188411e-09,2.5544010101099537e-08,1.2625391211545325e-11,3.6872776490303277e-10,3.143343156085637e-13,7.933883932345959e-12,3.2411752742232435e-17,3.2211252168462883e-15,1.2341162437426888e-17,2.4469298754932488e-17,6.364734119498652e-18,9.566143647241036e-17,1.977864889522204e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,7939000.0,hn,0.0,20.0,1.476,0.4917083545744634,0.3536615694156085,2.4403243452437294e-07,3.617098762156709e-13,1.9623806816561508e-08,0.0115752789915594,3.3128588740937345e-06,0.091065398381022,7.268188608647377e-07,0.0169037287059017,7.759887212090904e-05,0.0055777847210906,0.000132360174525,0.0068061401245787,1.3368016226574244e-05,0.0044429200910354,3.0490371314393213e-06,0.0007643547872164,2.4829584995868648e-06,0.0006467718202249,1.338806173334468e-07,2.2575367952694697e-05,1.5113918344077763e-06,0.0001078697653593,2.297686407176708e-05,0.0155237731203722,5.309473069665002e-05,0.0008663723338651,2.8809864100738584e-06,1.3229453468633296e-05,4.906600746690447e-09,5.8907478209407614e-08,1.4579774524580475e-11,8.394403249232312e-10,2.2519615817175722e-13,1.6267188083806257e-11,2.551557151324913e-17,4.426153247657395e-15,1.849124753519008e-17,2.301244152602798e-17,4.8511755960014344e-18,6.018178894409339e-17,8.00791754625852e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,5717000.0,hn,0.0,30.0,1.758118,0.4266434964144677,0.3296660601189181,1.4783731030383854e-07,1.5658935436963262e-13,1.5522119187329055e-08,0.0102347671339262,0.0001803328211301,0.1688805309325658,9.065360974900256e-07,0.0321540624046386,0.0001021621660077,0.008379554984433,0.0001578631900489,0.0063758226098337,1.0749178448216612e-05,0.0040263136751868,3.588915060098906e-06,0.0007167011394637,1.6539757826270646e-06,0.0006390088011092,7.774452351797927e-08,1.8301615351931868e-05,1.2881117038573528e-06,0.0001001294629469,1.1937655865320888e-05,0.0111759766287939,3.297838830772033e-05,0.0004430103231243,1.2452256548966018e-05,3.002023788586003e-05,7.099686622990209e-09,2.909978111247636e-08,2.04285631694742e-11,4.5455853936305536e-10,6.372563142163251e-13,9.082954791165059e-12,4.228835745141031e-17,2.6968569855372986e-15,3.551915013147e-18,1.6023607849509074e-17,3.1914347527347025e-18,4.638770158649887e-17,1.3383321954920365e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,4709000.0,hn,0.0,40.0,2.8280000000000003,0.3947581004039423,0.3124983753786401,5.344038345989249e-07,2.707090701147188e-13,8.139597361782324e-08,0.0099020296178558,2.275800982141053e-06,0.1941676103286659,4.0277023176683533e-07,0.025397661111974,6.261238112338997e-05,0.0104858460447545,0.0002324475715413,0.014785075947934,2.3450107628478945e-05,0.0111135466681279,1.0734914402634251e-05,0.0020215731870373,6.181451945371756e-06,0.0018667250783072,2.664557091466428e-07,4.030590864652655e-05,3.6734303167835136e-06,0.0003513695935545,2.494588408125997e-05,0.0212890540313823,8.028005592184982e-05,0.0007846905937112,1.0486081354017031e-05,7.951067084298886e-05,2.2290620762872722e-08,4.5906714218807057e-08,5.980114252951315e-11,7.90975514513707e-10,1.4781058278224809e-12,1.4412076780476439e-11,6.738436223838161e-16,1.1418061287544922e-14,2.8969101703716303e-15,1.461813310855875e-15,1.0359040319285865e-17,7.983137037260406e-17,3.806186006462761e-17,2.1257954511077512e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,3771000.0,hn,0.0,60.0,1.932,0.3231572614760149,0.3260455714545726,1.9210310338347933e-07,2.001900078754978e-13,4.896658909428276e-08,0.0174221032035861,1.995449880742519e-06,0.1877122667943896,2.488041379948418e-07,0.0246676281506862,7.103244536120971e-05,0.0160573378046557,0.0002309069546249,0.0259371210887696,2.7956779084088392e-05,0.0179868818239603,1.1563193890534409e-05,0.0032331907958156,6.615125450992671e-06,0.0029613631337263,2.598868767286833e-07,7.614713466626516e-05,4.307575938002595e-06,0.0005549472153432,4.024782798528834e-05,0.0518008429243037,0.0001003087158889,0.001740788052764,2.0720010305893578e-05,0.0001299562662615,2.975897542756493e-08,1.086855676995986e-07,5.7254726278354726e-11,1.726024072946902e-09,1.4769411265273813e-12,3.033832896669692e-11,2.581404466201148e-15,8.636710557500987e-15,2.978340115654925e-15,1.9382956534686012e-14,1.3291835416826373e-15,1.2052159493119256e-14,1.0853146197824974e-14,3.366829062750433e-15,6.747313942335291e-15,2.4342559712496616e-15,3.476341717397445e-15,2.18776672767692e-16,3.067394397282891e-15,1.0190532043462002e-15,1.0569914279151743e-14,1.6912305075913846e-15,1.5549444188060117e-14,7.183223867415995e-16,9.175185188000724e-15,1.9641390532366527e-15,1.4153413423211788e-14,3.570982419353768e-15,5.394350008663242e-14,1.961665578476585e-14,3.958790053616448e-15,2.101564954446513e-14,3.467918719113107e-15,3.1880850559806815e-14,5.27036881697569e-15,1.125594528425022e-14,1.6498637254412618e-15,4.288848361153821e-15,6.599602831118631e-16,3.641779614036705e-15,8.06132465438993e-16,9.147104100149934e-15,3.978497436736504e-15,1.3823693421821254e-13,5.524282958285217e-14,3.133848415380163e-13,1.754847609146159e-13,4.211881414504724e-14,4.9287431162653736e-18,6.1235095105217645e-22,0.0,0.0,0.0
80.0,3304000.0,hn,0.0,80.0,2.265859,0.2899479243221914,0.3470084400904481,1.613831225536516e-09,1.501451830506628e-13,1.1830403714157392e-08,0.0181683204193113,0.0029433653855966,0.1892906293475376,1.39181752921469e-07,0.0219493680495879,1.3928119124194976e-05,0.0205380351630347,0.0003131700475893,0.0263354553294251,3.494526052907681e-05,0.0198281321410114,1.0887934560058236e-05,0.0035161511705507,7.126025767999965e-06,0.003175416234968,2.778657127771432e-07,7.637289295522007e-05,2.914802790987237e-06,0.0006359722012977,5.1020236198937846e-05,0.0543235047943265,5.9245573479493615e-05,0.0016430174038099,1.3964073795309052e-05,0.0001120784530533,3.351765745477232e-08,9.65468724507182e-08,5.507136343113255e-11,1.581716214771821e-09,1.3319620844223708e-12,2.687565711360073e-11,3.4681982995925116e-16,6.1037204263177705e-15,1.5513407318628584e-16,1.0248119660332775e-16,3.211496902664981e-18,3.749234967382482e-17,1.111816412567452e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,7939000.0,hn,0.0286500347710761,15.0,1.436,0.5482753668827732,0.3544539328054023,3.455867379849527e-07,2.2907977308036365e-13,1.571208444023957e-08,0.0101811620782725,1.3087178989094129e-06,0.0521022619631623,4.819579276486664e-07,0.0132306248308055,9.873154092377624e-05,0.0037455209642063,0.0001075259010631,0.0048645887039967,1.2040410217470347e-05,0.0029261702947874,3.0613578715276827e-06,0.0005103657122721,1.6189948250043087e-06,0.0004413744732595,3.019522686390177e-07,1.905972952884856e-05,2.030351557679073e-06,7.640809391610779e-05,1.3749924880037162e-05,0.0083690082376434,4.90285170789e-05,0.0004849910495487,1.2600979021640133e-05,1.6252832745825438e-05,6.670701639188411e-09,2.5544010101099537e-08,1.2625391211545325e-11,3.6872776490303277e-10,3.143343156085637e-13,7.933883932345959e-12,3.2411752742232435e-17,3.2211252168462883e-15,1.2341162437426888e-17,2.4469298754932488e-17,6.364734119498652e-18,9.566143647241036e-17,1.977864889522204e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,7939000.0,hn,0.0232204045290795,15.0,1.436,0.5482753668827732,0.3544539328054023,3.455867379849527e-07,2.2907977308036365e-13,1.571208444023957e-08,0.0101811620782725,1.3087178989094129e-06,0.0521022619631623,4.819579276486664e-07,0.0132306248308055,9.873154092377624e-05,0.0037455209642063,0.0001075259010631,0.0048645887039967,1.2040410217470347e-05,0.0029261702947874,3.0613578715276827e-06,0.0005103657122721,1.6189948250043087e-06,0.0004413744732595,3.019522686390177e-07,1.905972952884856e-05,2.030351557679073e-06,7.640809391610779e-05,1.3749924880037162e-05,0.0083690082376434,4.90285170789e-05,0.0004849910495487,1.2600979021640133e-05,1.6252832745825438e-05,6.670701639188411e-09,2.5544010101099537e-08,1.2625391211545325e-11,3.6872776490303277e-10,3.143343156085637e-13,7.933883932345959e-12,3.2411752742232435e-17,3.2211252168462883e-15,1.2341162437426888e-17,2.4469298754932488e-17,6.364734119498652e-18,9.566143647241036e-17,1.977864889522204e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,7939000.0,hn,0.0188460845106161,15.0,1.436,0.5482753668827732,0.3544539328054023,3.455867379849527e-07,2.2907977308036365e-13,1.571208444023957e-08,0.0101811620782725,1.3087178989094129e-06,0.0521022619631623,4.819579276486664e-07,0.0132306248308055,9.873154092377624e-05,0.0037455209642063,0.0001075259010631,0.0048645887039967,1.2040410217470347e-05,0.0029261702947874,3.0613578715276827e-06,0.0005103657122721,1.6189948250043087e-06,0.0004413744732595,3.019522686390177e-07,1.905972952884856e-05,2.030351557679073e-06,7.640809391610779e-05,1.3749924880037162e-05,0.0083690082376434,4.90285170789e-05,0.0004849910495487,1.2600979021640133e-05,1.6252832745825438e-05,6.670701639188411e-09,2.5544010101099537e-08,1.2625391211545325e-11,3.6872776490303277e-10,3.143343156085637e-13,7.933883932345959e-12,3.2411752742232435e-17,3.2211252168462883e-15,1.2341162437426888e-17,2.4469298754932488e-17,6.364734119498652e-18,9.566143647241036e-17,1.977864889522204e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,7939000.0,hn,0.01530322647093,15.0,1.436,0.5482753668827732,0.3544539328054023,3.455867379849527e-07,2.2907977308036365e-13,1.571208444023957e-08,0.0101811620782725,1.3087178989094129e-06,0.0521022619631623,4.819579276486664e-07,0.0132306248308055,9.873154092377624e-05,0.0037455209642063,0.0001075259010631,0.0048645887039967,1.2040410217470347e-05,0.0029261702947874,3.0613578715276827e-06,0.0005103657122721,1.6189948250043087e-06,0.0004413744732595,3.019522686390177e-07,1.905972952884856e-05,2.030351557679073e-06,7.640809391610779e-05,1.3749924880037162e-05,0.0083690082376434,4.90285170789e-05,0.0004849910495487,1.2600979021640133e-05,1.6252832745825438e-05,6.670701639188411e-09,2.5544010101099537e-08,1.2625391211545325e-11,3.6872776490303277e-10,3.143343156085637e-13,7.933883932345959e-12,3.2411752742232435e-17,3.2211252168462883e-15,1.2341162437426888e-17,2.4469298754932488e-17,6.364734119498652e-18,9.566143647241036e-17,1.977864889522204e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
