mass,lifetime,expl_energy,type,Z,mass_presn,remnant_mass,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U
15.0,10509000.0,9.999985e+50,sn,0.0,15.0,1.436,0.5482716147085701,0.34962585014958264,6.450836716939041e-08,2.2248791391326294e-13,2.2227815188538082e-08,0.010357841762703898,2.5589228754306056e-06,0.056272424897560964,1.663482411192266e-06,0.01822639873242338,0.00015802561934808216,0.003828366962374011,0.00010098361928160136,0.003982467106832507,1.1399670933197025e-05,0.0029057288224277355,5.1376388753732004e-06,0.00047166658901043936,3.89981906729429e-06,0.0003429827834907294,6.856431167567513e-08,9.272891194603713e-06,1.1095409760201023e-06,7.918816241793129e-05,2.74299837535282e-05,0.005093723886580829,1.3376118790098425e-05,0.00020105337452122192,1.3938779882877886e-06,4.214949486442165e-06,2.223420254479673e-09,1.604960751307242e-08,4.641696139073049e-12,2.5348954321764794e-10,1.1168285600694512e-13,5.444767841744012e-12,1.2077919662589067e-17,1.7091090265068622e-15,6.756507675088995e-18,8.859622650331436e-18,2.2653151943888958e-18,2.9066128974248285e-17,4.570026229884396e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,7939000.0,6.999324000000001e+51,hn,0.0,15.0,1.436,0.5482753668827732,0.3544539328054023,3.455867379849527e-07,2.2907977308036365e-13,1.5712084440239567e-08,0.010181162078272505,1.3087178989094129e-06,0.05210226196316233,4.819579276486664e-07,0.013230624830805535,9.873154092377624e-05,0.00374552096420634,0.00010752590106319788,0.0048645887039967615,1.2040410217470347e-05,0.0029261702947874307,3.0613578715276827e-06,0.0005103657122721331,1.6189948250043087e-06,0.0004413744732595458,3.0195226863901764e-07,1.905972952884856e-05,2.030351557679073e-06,7.640809391610779e-05,1.3749924880037162e-05,0.0083690082376434,4.90285170789e-05,0.00048499104954877626,1.2600979021640131e-05,1.6252832745825438e-05,6.67070163918841e-09,2.5544010101099537e-08,1.2625391211545325e-11,3.687277649030328e-10,3.143343156085637e-13,7.933883932345959e-12,3.2411752742232435e-17,3.2211252168462883e-15,1.2341162437426887e-17,2.4469298754932488e-17,6.364734119498652e-18,9.566143647241036e-17,1.9778648895222034e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,7939000.0,1.000632e+51,sn,0.0,20.0,1.4640790000000001,0.4913919284929968,0.3507074141704981,7.672233156407571e-08,2.6029405804086967e-13,2.7831836618456168e-08,0.01164156721741624,5.024437374912258e-06,0.09704709819309112,1.9332617314156246e-06,0.02229934799001749,0.00011555172364281763,0.005806843982518397,0.00012958209270598985,0.00550277619863529,1.4594245316641907e-05,0.003725397651559989,4.751057742626029e-06,0.0005876150564244402,4.023574872236328e-06,0.00044966529669200253,4.576694025910681e-08,1.1568240697313533e-05,1.6992430976338709e-06,0.00011409458826089937,5.9305403267937376e-05,0.009812517814814854,2.2170410673173253e-05,0.00053929937248193,9.513418053406008e-07,3.0131759249652293e-06,1.6993339918141824e-09,3.482707390314431e-08,7.655513838113433e-12,5.073701251076902e-10,6.768006635547715e-14,1.0521657752114578e-11,1.2990661562877845e-17,2.6100647790748085e-15,1.0803985933216756e-17,1.155925206483205e-17,2.1887364993637702e-18,2.332728033458619e-17,1.345734625016396e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,7939000.0,5.498857e+51,hn,0.0,20.0,1.476,0.4917083545744634,0.35366156941560856,2.4403243452437294e-07,3.617098762156709e-13,1.9623806816561508e-08,0.01157527899155944,3.3128588740937345e-06,0.09106539838102204,7.268188608647377e-07,0.016903728705901778,7.759887212090904e-05,0.005577784721090623,0.0001323601745250973,0.006806140124578705,1.3368016226574244e-05,0.004442920091035421,3.0490371314393213e-06,0.000764354787216418,2.4829584995868648e-06,0.0006467718202249741,1.338806173334468e-07,2.2575367952694697e-05,1.5113918344077763e-06,0.00010786976535930841,2.297686407176708e-05,0.015523773120372291,5.309473069665002e-05,0.0008663723338651401,2.8809864100738584e-06,1.3229453468633295e-05,4.906600746690447e-09,5.8907478209407614e-08,1.4579774524580475e-11,8.394403249232315e-10,2.251961581717571e-13,1.6267188083806257e-11,2.551557151324913e-17,4.426153247657395e-15,1.849124753519008e-17,2.301244152602798e-17,4.851175596001434e-18,6.018178894409339e-17,8.00791754625852e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,5717000.0,1.001766e+51,sn,0.0,30.0,1.758118,0.4266419545348157,0.3261019410457258,2.8341083488421566e-08,2.0022486568880427e-13,3.331798421410718e-08,0.010370938795491945,0.00018541811438785812,0.1748957128681231,2.1193738132643393e-06,0.03906531544065177,0.00013195935271678442,0.008213601770367148,0.00014780864383523836,0.0042823364315712886,9.798868586637273e-06,0.003199836351677693,4.255142362417877e-06,0.0005237484857184947,3.216735639841576e-06,0.0003935051749194526,1.774985179793866e-08,8.082858139010184e-06,7.90797294933676e-07,8.643508965297356e-05,2.4405002339439356e-05,0.005527184010978365,7.13701726660141e-06,0.00016698879193185746,9.269655390225144e-07,4.415740160582203e-06,2.2056387928962447e-09,1.2907820936047508e-08,3.6361053255921374e-12,2.1809105711022396e-10,9.699670897572259e-14,4.261161357928877e-12,1.2735506852051175e-17,1.0125096111135924e-15,2.6663520338708803e-18,4.142058625900336e-18,9.395552185951738e-19,1.2276261174348214e-17,2.2360601329825447e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,5717000.0,9.500209e+51,hn,0.0,30.0,1.758118,0.4266434964144677,0.3296660601189181,1.4783731030383852e-07,1.5658935436963262e-13,1.5522119187329055e-08,0.010234767133926268,0.0001803328211301126,0.16888053093256586,9.065360974900255e-07,0.03215406240463866,0.00010216216600772412,0.00837955498443306,0.00015786319004893186,0.006375822609833701,1.0749178448216612e-05,0.0040263136751868605,3.588915060098906e-06,0.0007167011394637854,1.6539757826270646e-06,0.0006390088011092942,7.774452351797926e-08,1.8301615351931868e-05,1.2881117038573528e-06,0.00010012946294697114,1.1937655865320888e-05,0.011175976628793957,3.297838830772033e-05,0.00044301032312438036,1.2452256548966018e-05,3.002023788586003e-05,7.099686622990209e-09,2.9099781112476362e-08,2.0428563169474197e-11,4.545585393630555e-10,6.372563142163251e-13,9.08295479116506e-12,4.228835745141031e-17,2.6968569855372982e-15,3.551915013147e-18,1.6023607849509074e-17,3.1914347527347025e-18,4.638770158649887e-17,1.3383321954920364e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,4709000.0,1.0000350000000001e+51,sn,0.0,40.0,17.32,0.6171830515568639,0.3828169412526407,5.157985331712349e-09,1.9264254667851838e-19,1.1850719716286024e-16,7.213790490719523e-11,1.882207561796255e-09,2.036850956144584e-11,1.1332236164006988e-16,4.695154201982623e-16,3.423703649439663e-18,2.9097545380090374e-16,1.79384142324707e-16,1.0301267458090944e-12,2.15048800891498e-14,7.680729422765767e-12,9.077356975874291e-14,4.2928649112240144e-13,1.7206372184502046e-13,4.809441876537833e-11,6.348369095643711e-17,2.5202314716231263e-16,2.6566560485561887e-16,8.83159976291111e-19,2.8468291410247266e-26,1.5464023506861195e-26,5.2227067843575277e-42,2.599644862458519e-43,4.419489658807691e-58,3.7520083326773307e-64,1.6397502002382288e-82,6.739070221825058e-88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,4709000.0,2.500612e+52,hn,0.0,40.0,2.8280000000000003,0.3947581004039423,0.31249837537864017,5.344038345989249e-07,2.707090701147188e-13,8.139597361782324e-08,0.009902029617855872,2.275800982141053e-06,0.19416761032866595,4.0277023176683533e-07,0.025397661111974074,6.261238112338997e-05,0.010485846044754528,0.0002324475715413605,0.014785075947934097,2.3450107628478945e-05,0.011113546668127968,1.0734914402634253e-05,0.0020215731870373774,6.181451945371756e-06,0.0018667250783072481,2.664557091466428e-07,4.030590864652655e-05,3.6734303167835136e-06,0.00035136959355452186,2.494588408125997e-05,0.021289054031382367,8.028005592184982e-05,0.0007846905937112849,1.0486081354017031e-05,7.951067084298886e-05,2.229062076287272e-08,4.5906714218807057e-08,5.980114252951315e-11,7.909755145137077e-10,1.4781058278224807e-12,1.4412076780476439e-11,6.738436223838161e-16,1.1418061287544922e-14,2.8969101703716303e-15,1.461813310855875e-15,1.0359040319285864e-17,7.983137037260406e-17,3.806186006462761e-17,2.125795451107751e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,3771000.0,1.000331e+51,sn,0.0,60.0,25.70201,0.5291462578612861,0.4708532531686074,6.735057315505133e-11,8.965967669895505e-17,4.522121161822631e-15,2.5497969843947882e-08,4.5965893209744253e-07,3.548214334639995e-09,4.8507637024438737e-14,2.0232314593737479e-13,1.8079501718702688e-14,1.5938389694890423e-13,3.483404990531881e-13,7.869999636677391e-11,1.7616562915159747e-14,1.8910105922080632e-11,8.04031770788168e-14,6.751807487658871e-13,2.797032577337289e-13,9.795374145498258e-11,1.204560088236991e-16,5.147547632577012e-16,6.348877253083626e-16,3.0291265189788375e-18,9.662181266201518e-21,2.618761019211707e-20,1.1866270755033534e-21,2.511282230921589e-21,3.363994012259596e-22,3.331255786887531e-22,2.0564983785048745e-23,4.375591713611475e-23,1.076346378012117e-24,1.3076242660422294e-23,1.4194600444976824e-23,1.8601607981731964e-24,4.1152533342893386e-26,2.9679648101877917e-25,2.6026942582152105e-26,3.4789336515046674e-28,2.3214696447363632e-34,5.383426454573447e-38,8.896456499668165e-44,1.1363595881888495e-48,1.1174215407391223e-49,1.3930769179015302e-53,5.140048898544794e-57,4.526153280020203e-64,3.4997039266627205e-65,7.71049523751493e-75,3.6153444545228144e-76,1.4874448423350356e-84,6.600949242831598e-86,3.982382603151134e-95,1.2908268764618913e-96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,3771000.0,5.999627e+52,hn,0.0,60.0,1.932,0.3231572614760149,0.3260455714545726,1.9210310338347933e-07,2.001900078754978e-13,4.896658909428275e-08,0.017422103203586174,1.995449880742519e-06,0.18771226679438965,2.488041379948418e-07,0.024667628150686283,7.103244536120971e-05,0.016057337804655753,0.0002309069546249627,0.025937121088769638,2.7956779084088392e-05,0.017986881823960396,1.1563193890534407e-05,0.0032331907958156416,6.615125450992671e-06,0.0029613631337263076,2.5988687672868326e-07,7.614713466626516e-05,4.307575938002595e-06,0.0005549472153432995,4.024782798528834e-05,0.05180084292430374,0.00010030871588897556,0.001740788052764025,2.0720010305893578e-05,0.00012995626626156054,2.975897542756493e-08,1.0868556769959859e-07,5.7254726278354726e-11,1.726024072946902e-09,1.4769411265273811e-12,3.033832896669692e-11,2.581404466201148e-15,8.636710557500987e-15,2.978340115654925e-15,1.938295653468601e-14,1.3291835416826371e-15,1.2052159493119256e-14,1.0853146197824974e-14,3.3668290627504327e-15,6.747313942335291e-15,2.4342559712496616e-15,3.4763417173974446e-15,2.1877667276769202e-16,3.067394397282891e-15,1.0190532043462002e-15,1.0569914279151745e-14,1.6912305075913846e-15,1.5549444188060117e-14,7.183223867415995e-16,9.175185188000723e-15,1.9641390532366527e-15,1.4153413423211788e-14,3.570982419353768e-15,5.394350008663241e-14,1.9616655784765855e-14,3.9587900536164474e-15,2.1015649544465132e-14,3.467918719113107e-15,3.188085055980681e-14,5.27036881697569e-15,1.125594528425022e-14,1.6498637254412618e-15,4.288848361153821e-15,6.599602831118631e-16,3.6417796140367045e-15,8.06132465438993e-16,9.147104100149934e-15,3.978497436736504e-15,1.3823693421821247e-13,5.524282958285217e-14,3.133848415380163e-13,1.754847609146159e-13,4.211881414504724e-14,4.928743116265373e-18,6.123509510521764e-22,0.0,0.0,0.0
