mass,mass_final,type,remnant_mass,Z,lifetime,Ti,N,Na,Sc,Cr,B,Mg,Fe,Zn,H,He,F,Ga,Li,Cl,Cu,K,Ni,Ge,Mn,O,S,Ar,Ca,P,Si,V,C,Ne,Be,Al,Co
20.0,20.0,hn,1.88,0.0,,9.711122152945383e-06,2.9987518967682157e-06,0.00012750194427584604,1.0211194671442215e-08,3.908418161116932e-05,6.017401824234026e-17,0.009124778754047637,0.00468600009884557,2.1269344470473422e-05,0.4840658230732337,0.3289686826738485,1.1701477137004053e-10,9.77047950942277e-10,1.5399585477480757e-11,3.2179062126761146e-06,6.912702814332017e-07,1.4811420664397243e-06,0.00021911567896027654,1.3362029341864548e-09,4.537082172932704e-06,0.11204716837300926,0.0023749583396148154,0.00038234024797883517,0.00027044045574742937,4.233506115133069e-06,0.00570767145180809,1.3357361004443351e-06,0.010487173557114152,0.04134655679192353,2.6659497439495082e-21,8.279347030899095e-05,2.0422389342884432e-05
25.0,25.0,hn,2.8,0.0,,6.959345212514772e-06,2.6890838469758656e-05,1.993668067871569e-05,9.923234726962562e-09,5.8998399017134844e-05,6.109555198941267e-14,0.006905033268583149,0.004484851157737604,1.2032900986187026e-05,0.47811949139001425,0.3622075848183488,7.53263727001249e-11,9.527072133294777e-10,2.561998784066676e-10,2.760463478591403e-06,3.965234385669448e-07,1.988318542241488e-06,0.00015985429103253536,6.520692855924281e-10,9.111333703847442e-06,0.10735144216401125,0.004147776801640269,0.0006211042832062908,0.00046348824679605106,2.665741692561306e-06,0.010446527489166451,8.389656489988751e-07,0.012043201639870426,0.012856038631506,1.6643970973859932e-18,4.027931186898894e-05,1.0735135750077679e-05
30.0,30.0,hn,3.27,0.0,,1.1731018224802694e-05,1.571215318566548e-06,2.752057292872392e-05,2.5987497534596638e-09,6.054900325606777e-05,3.956082358504064e-15,0.008122603619705907,0.006126318846700019,2.208039883628496e-05,0.4374873685680301,0.35672817252452377,2.9464961233470723e-10,1.5257386935643154e-09,8.824531550015007e-10,2.56883608723279e-06,6.951188189469806e-07,9.034869481002043e-07,0.0002581437220394713,1.1036830375610732e-09,9.235844447547294e-06,0.14657698474453773,0.0031959761524019623,0.00043340041461901503,0.00031423524914428436,4.337481602896705e-06,0.009274433076979925,1.3872466089217816e-06,0.011815900522794794,0.019446511710887602,1.1554153580130016e-19,5.795772831456803e-05,1.9406490964684398e-05
40.0,40.0,hn,5.53,0.0,,1.1236242652617333e-05,1.174386470833818e-07,9.525191949393974e-06,1.823725775676651e-08,8.34123242832926e-05,2.760011487994978e-14,0.009806940157604402,0.007653259505706321,2.0197618330806404e-05,0.4065630710107188,0.34267533475695733,3.39770566487529e-09,2.6036589469719984e-09,9.931770673082928e-13,7.538840945313037e-06,6.522433267786239e-07,4.423168082797882e-06,0.0002894177308572409,1.0949730869776817e-09,1.0686800723710313e-05,0.18353419520796044,0.007606651321140807,0.0010536662867457714,0.0008362084714162718,2.9330621551487544e-05,0.02109917137448839,1.0106031184815372e-06,0.010802963979535797,0.007667509445222122,2.622331808019134e-19,0.00021838244957147161,1.507187384675449e-05
20.0,19.71,hn,2.24,0.001,,1.0111438951869177e-05,0.0007381437972855413,7.380654135943301e-05,1.2186661480278474e-08,4.532808712558977e-05,7.363489823999247e-13,0.013358983986057376,0.004779076538894952,2.064032541309238e-05,0.4823171656279227,0.34100681825491336,1.6077238854264092e-07,1.1774717993621174e-07,4.817450219018152e-12,2.96370452900669e-06,1.281029814757911e-06,1.3243336573615653e-06,0.00019872840368814496,4.21898787584852e-07,6.236366673006356e-06,0.11443045700345168,0.00211643581503254,0.00032572401813610525,0.0002645719401361112,1.5505095122795618e-05,0.006656892315635683,6.812618396466772e-07,0.007095703671922743,0.026162244765739424,9.840872181257737e-23,0.0003615948382880749,8.868227837761331e-06
25.0,24.45,hn,2.15,0.001,,1.0086082088692927e-05,0.0004129351169473834,0.0003031789537976975,1.4261968536637248e-08,4.301687774187301e-05,1.8746864302875375e-12,0.008802953409972197,0.006908461679980952,2.5511150038659072e-05,0.43951978509133655,0.3139483546053344,2.7223317301065437e-08,1.7760187234302986e-07,4.090224960067578e-14,3.265004117821357e-06,2.1572348635605395e-06,8.907451481325546e-07,0.0003375242855754369,7.518927752098221e-07,5.023083258186703e-06,0.16594555648824472,0.0019343161243798367,0.0003129599060029344,0.00025096806664441087,8.252208209878155e-06,0.0050798620385872776,2.4448198347790272e-06,0.008705097469248649,0.04717495915362536,1.1391635246244845e-26,0.00023186911111451123,2.9600312057171645e-05
30.0,29.05,hn,2.57,0.001,,1.4199395294635276e-05,0.00023316614915930715,0.0001762613423309234,2.0902787391808226e-08,6.139694765833861e-05,4.651340978177145e-13,0.011939069555321018,0.007752776050797697,3.223729560800625e-05,0.4180557478361703,0.31750181570149144,7.683186716988969e-08,2.583659846987467e-07,4.2201334224901365e-14,5.216281177955746e-06,2.2446957271203064e-06,2.3121985484578525e-06,0.00033917879714307625,1.0639707095830315e-06,7.381885277107048e-06,0.18643284958678524,0.0035377285966126937,0.0005408833135886732,0.0004238198703571479,1.4876758594169819e-05,0.008998744128873366,1.7820925613976e-06,0.003957669738208956,0.03960995352851684,9.754634116177173e-18,0.00032766531587158837,2.9602866468398674e-05
40.0,37.82,hn,5.52,0.001,,1.1682660189863182e-05,0.00026441390963492426,1.8715905275480168e-05,3.222606206374069e-08,9.884321980313896e-05,3.2164088867464265e-13,0.016192294749907892,0.008283833199877097,2.2667936002027755e-05,0.3997271159829374,0.3346590092710665,5.1127886928050136e-08,2.3425868192488426e-07,5.918463949146107e-14,1.3754950913552397e-05,1.4842580508203645e-06,5.6281299051014355e-06,0.00029786797058300627,1.0401581263035073e-06,1.4439754732406887e-05,0.19894029060932197,0.008829351950234342,0.0011756435871504466,0.0009137579670171657,8.273421702902657e-05,0.022565060496208763,8.536962720068152e-07,0.0015828574060960318,0.005675090094579895,4.1831907486586477e-20,0.0006073373235089591,1.391298256405728e-05
20.0,19.51,hn,2.23,0.004,,3.3144198635816246e-06,0.0010657338392602216,0.00011856009911780576,3.522102456719205e-08,1.7792111654927686e-05,1.63040378255125e-10,0.004877735980290488,0.0019064348269753782,3.8661580809396085e-06,0.517616042489943,0.4065845096661074,2.816525281481532e-07,1.4227211894136692e-07,2.4961932439236286e-14,5.696668177123838e-06,9.461674251547817e-07,2.753052252807487e-06,9.251157782870345e-05,3.7991282492920297e-07,5.233994619590937e-06,0.04561793558109794,0.0020061612205917448,0.00027930792989535523,0.00017997394128974002,2.7066403115674682e-05,0.0062327911619149716,1.839243059582663e-07,0.004828634748997425,0.008312624471414858,3.626204007164108e-17,0.00021051646867746975,2.8338755398890157e-06
25.0,24.02,hn,1.97,0.004,,8.24443763052549e-06,0.0014304952755101192,0.00021189504152264977,2.7709351583731127e-08,4.198283701963184e-05,7.692514434764573e-12,0.010732846066868406,0.003919243287240088,1.8645722289472876e-05,0.46182252639552784,0.38440771433973897,3.839465709641175e-06,4.228845486798182e-07,4.648334281607445e-15,5.215877945172919e-06,3.205591653804189e-06,2.0914629195623097e-06,0.0001919732854819456,1.6562223544654979e-06,7.561211951769769e-06,0.09376319366002633,0.001890634413520208,0.00028969769394705206,0.00021764024958105166,2.3951383966983278e-05,0.00573157976631458,1.0241684227031287e-06,0.005812760922179989,0.028972436193422758,1.7839026999983763e-17,0.0004708778700503328,1.661655560658386e-05
