mass,mass_final,type,remnant_mass,Z,lifetime,Ti,N,Na,Sc,Cr,B,Mg,Fe,Zn,H,He,F,Ga,Li,Cl,Cu,K,Ni,Ge,Mn,O,S,Ar,Ca,P,Si,V,C,Ne,Be,Al,Co
13.0,13.0,cc,1.57,0.0,,6.208461629230769e-06,0.0001407741461538,1.1076923076923075e-05,1.6307692307692306e-09,7.23077103846154e-05,2.261560923076923e-17,0.0066482846153846,0.0055173846197461,9.671507692361077e-06,0.5076923076923077,0.3084647076923076,9.000000000000001e-12,6.007698869230768e-10,1.6769230769233575e-11,4.449230769230769e-06,3.926153846153846e-07,4.1347230769230773e-07,0.0001969615384618,6.915413099999998e-10,1.0230769230769231e-05,0.0346155190692307,0.0018514472923076,0.0002532538523153,0.0002259878154669,3.7538461538461535e-05,0.0063515384615384,1.2692318153846154e-06,0.0057000064538461,0.001176980076923,1.3615384615384617e-21,0.0002907692307692,1.3538461538461536e-05
15.0,15.0,cc,1.48,0.0,,6.252666730333333e-06,0.0001240045733333,0.0001633333333333,2.686666666666666e-09,7.82066942e-05,2.200553333333333e-17,0.0045931333333333,0.0048253333450666,8.208386669060001e-06,0.5053333333333333,0.29333606,1.3133333333333335e-10,3.7467413333333335e-10,1.9600000000007398e-11,1.3686666666666667e-06,2.5213333333333334e-07,5.777273333333333e-07,0.0001387000000066,4.380694e-10,1.24e-05,0.051533764,0.0021518334286666,0.00035615333452,0.0002955586201201,3.753333333333333e-06,0.0049058666666666,7.200007e-07,0.0114666708066666,0.02180358,2.146666666666667e-23,9.133333333333332e-05,8.8e-06
18.0,18.0,cc,1.65,0.0,,4.936666762222223e-06,1.0501333333333334e-05,0.0001155555555555,3.0777777777777774e-09,6.781684722222222e-05,3.9666884444444436e-17,0.0088033333333333,0.0040154444892777,5.308788889255e-06,0.4683333333333333,0.3011129611111111,4.3944444444444434e-10,3.3888991111111105e-10,4.077777777780205e-12,1.9733333333333336e-06,2.268333333333333e-07,1.1678866666666668e-06,0.0001104277777783,2.6670731666666666e-10,9.666666666666668e-06,0.0766669393888888,0.0022826669633333,0.0003244444466444,0.0002454529949594,7.333333333333334e-06,0.0064881666666666,6.8889145e-07,0.0121666668127777,0.0274509388888888,5.8333333333333344e-24,0.0001744444444444,8.944444444444444e-06
20.0,20.0,cc,1.66,0.0,,5.1390000915e-06,2.7105650000000004e-06,0.000145,1.275e-08,7.325015899999999e-05,3.2828500000000002e-18,0.0075176999999999,0.0036143500525,4.168440001255e-06,0.4385,0.29700238,8.1e-11,2.46504605e-10,1.39500000001825e-11,5.37e-06,1.791e-07,2.6741500000000005e-06,8.742000000305e-05,1.9652995000000003e-10,1.13e-05,0.10550000468,0.002689400128,0.0005028000053,0.0003123687215,4.005e-06,0.0049846,5.500068e-07,0.01055000057,0.04560561,2.245e-24,6.85e-05,7.499999999999999e-06
25.0,25.0,cc,1.92,0.0,,6.6111600896e-06,2.364472e-05,4.1200000000000005e-05,2.464e-08,0.0001187523728,3.7954800000000004e-17,0.004803624,0.0029510800924,1.02276841588e-07,0.424,0.32120844,6.84e-11,3.50496e-12,2.2720000000010759e-10,4.616e-06,5.2316e-09,3.3523216e-06,1.76786001308e-05,2.9456e-13,1.7199999999999998e-05,0.1116000866,0.00742792001368,0.001254360000708,0.000992690633616,3.388e-06,0.0140538559999999,3.6040468e-07,0.0117600005879999,0.02132134,4.96e-19,3.232e-05,6.28e-07
30.0,30.0,cc,2.07,0.0,,6.346866668196667e-06,5.5226666666666666e-08,4.7333333333333336e-05,5.033333333333333e-09,0.0001113400057333,1.0900172666666666e-16,0.0075792,0.0024857666742,1.0249320000000002e-11,0.3899999999999999,0.3173401999999999,2.98e-11,1.7646666666666667e-14,7.866666666666704e-10,1.28e-06,7.934333333333333e-12,5.496998e-07,1.2853589334420002e-05,1.0476666666666669e-13,1.7199999999999998e-05,0.160333334029,0.0038749733567999,0.000657826666822,0.0005802101310201,3.9e-06,0.0082947666666666,3.533334213333333e-07,0.0112666670066666,0.0283713599999999,4.2e-22,8.766666666666667e-05,8.233333333333334e-08
40.0,40.0,cc,2.89,0.0,,6.69732523525e-06,3.045e-08,4.6e-06,1.4525000000000001e-08,0.0001097271475,7.680925e-16,0.01196385,0.0020000253525,1.111528625e-12,0.35,0.2975006424999999,5.95e-12,1.405e-16,9.400000000188499e-13,7.815e-06,5.182499999999999e-13,3.65026e-06,1.445954640019275e-05,4.8496874999999996e-14,1.7875e-05,0.2095000053605,0.0093850007975,0.00124525000325,0.00093326049138,4e-05,0.0259165,4.40016325e-07,0.0107250000805,0.0076754387499999,1.3324999999999999e-21,0.0003675,4.7e-08
13.0,12.93,cc,1.65,0.001,,8.294e-06,0.0006982746153846,4.161538461538462e-05,1.9384615384615385e-08,9.97823076923077e-05,4.815384615384616e-12,0.0050641538461538,0.0058151384615384,6.886846153846153e-06,0.495384615384616,0.2969340769230769,2.3615384615384615e-07,1.0346153846153845e-07,4.8769232592307685e-11,7.384615384615385e-06,9.93076923076923e-07,2.1182e-06,0.0001766692307692,4.2723076923076923e-07,1.746153846153846e-05,0.0389138153846153,0.0029322114615384,0.0004583212307692,0.0003663244230769,4.084615384615385e-05,0.007166923076923,6.893076923076923e-07,0.0082436153846153,0.0051934615384615,1.7923076923076925e-18,0.0002746153846153,6.853846153846153e-06
15.0,14.92,cc,1.53,0.001,,5.280133333333333e-06,0.0002387239333333,0.0001306666666666,3.386666666666666e-09,2.2998666666666664e-05,2.1873333333333334e-12,0.0043813333333333,0.0048846733333333,4.646233333333334e-06,0.496666666666892,0.3440102,1.32e-08,8.373333333333334e-09,2.5067406666666667e-14,7.153333333333334e-07,4.2366666666666666e-07,2.9766333333333335e-07,0.0002492686666666,2.732e-08,5.34e-06,0.0196261066666666,0.0011124503333333,0.0001655099333333,0.0001167700466666,5.413333333333333e-06,0.0029138,1.0800746666666666e-06,0.0056702533333333,0.0126894333333333,6.039999999999999e-17,0.0001566666666666,1.5466666666666665e-05
18.0,17.84,cc,1.7,0.001,,6.151444444444445e-06,0.0002483845,0.0001161111111111,1.972222222222222e-08,9.117755555555556e-05,1.9983333333333337e-12,0.0033985,0.0041358611111111,3.440027777777778e-06,0.4700000000000002,0.3633420555555555,1.844444444444445e-08,1.0555555555555557e-08,3.238938e-14,6.827777777777778e-06,2.177777777777778e-07,3.768844444444444e-06,0.0001819777777777,3.1972222222222225e-08,1.5611111111111113e-05,0.0234627888888888,0.0044299066666666,0.0007006723888888,0.0004495884722222,1.038888888888889e-05,0.0085630555555555,4.201005555555556e-07,0.0072262222222222,0.0098645888888888,5.1777777777777785e-18,0.0001283333333333,3.5e-06
