mass,mass_final,type,remnant_mass,Z,lifetime,Ti,N,Na,Sc,Cr,B,Mg,Fe,Zn,H,He,F,Ga,Li,Cl,Cu,K,Ni,Ge,Mn,O,S,Ar,Ca,P,Si,V,C,Ne,Be,Al,Co
13.0,13.0,cc,1.57,0.0,,7.060742518610151e-06,0.0001600992417493,1.2597533240178076e-05,1.854636838137328e-09,8.223391809852574e-05,2.5720219148676502e-17,0.0075609432195981,0.006274796318745,1.0999186217243308e-05,0.5773869401748285,0.3508099118853026,1.023549575764469e-11,6.832419587690924e-10,1.9071265599717223e-11,5.06000918480486e-06,4.465125670685341e-07,4.7023267236535273e-07,0.0002239998879272,7.86474238304561e-10,1.163522167322003e-05,0.0393674442868644,0.0021056089895464,0.0002880198589979,0.0002570108140545,4.269164042504792e-05,0.0072234605530659,1.4434685402040996e-06,0.006482487986321,0.0013385527315753,1.548446794105222e-21,0.0003306852475546,1.539698507132876e-05
15.0,15.0,cc,1.48,0.0,,6.937854812401082e-06,0.0001375934082152,0.0001812319449547,2.9810805639495862e-09,8.677684468376011e-05,2.44169730965303e-17,0.0050964642087949,0.0053541094725394,9.107889067190194e-06,0.560709446023272,0.325480804158145,1.4572527818810632e-10,4.1573217494838304e-10,2.1747833394578392e-11,1.5186497264983871e-06,2.797629452321919e-07,6.41036622082788e-07,0.000153899208774,4.860745064520061e-10,1.3758833372075012e-05,0.0571810057993417,0.002387638515281,0.0003951818052072,0.0003279469198317,4.164636122837759e-06,0.0054434679042164,7.989007789578523e-07,0.0127232268517228,0.0241928890431215,2.3819055622624487e-23,0.0001013419447297,9.764333360827427e-06
18.0,18.0,cc,1.65,0.0,,5.43440772317187e-06,1.1560133531188498e-05,0.0001272064803668,3.3880956790028926e-09,7.465450192544742e-05,4.366631039969543e-17,0.0096909321533357,0.0044203029281798,5.8440491793433525e-06,0.5155531872562163,0.3314727690213319,4.837515671644924e-10,3.7305859174870286e-10,4.488920989872931e-12,2.1722952801116023e-06,2.497038746817475e-07,1.285639202891185e-06,0.0001215616928012,2.9359816478018435e-10,1.0641311338384536e-05,0.0843969073860231,0.002512817569518,0.0003571566588365,0.0002702008694795,8.072718946360683e-06,0.0071423380877926,7.583491446001204e-07,0.0133933747763957,0.0302186883359621,6.421480980059634e-24,0.0001920328597846,9.84627083609144e-06
20.0,20.0,cc,1.66,0.0,,5.602940399791348e-06,2.9552702615982114e-06,0.0001580903567823,1.3901048613620112e-08,7.986306048740411e-05,3.5792201914684544e-18,0.0081963853460872,0.0039406475126621,4.544759772580739e-06,0.4780870444762681,0.3238152566855587,8.831254413358658e-11,2.687586272616645e-10,1.5209382600983328e-11,5.854794592559999e-06,1.952688475842637e-07,2.91556777647939e-06,9.531213096824065e-05,2.1427234423390823e-10,1.2320145045796646e-05,0.1150243681406924,0.0029321946604552,0.0005481919464002,0.0003405688457212,4.36656468216067e-06,0.0054346013270157,5.996604913428732e-07,0.0115024369252776,0.0497228079736313,2.4476748343197763e-24,7.468406510062569e-05,8.177087419776535e-06
25.0,25.0,cc,1.92,0.0,,7.173230922458872e-06,2.5654958336842173e-05,4.470276169385375e-05,2.6734855537295052e-08,0.000128848519948,4.1181659697521364e-17,0.0052120208480309,0.0032019764589813,1.1097226398806781e-07,0.4600478387911161,0.3485170958100611,7.421526455969894e-11,3.802946398701204e-12,2.4651620040894126e-10,5.0084453392919625e-06,5.676382720329253e-09,3.6373309127659823e-06,1.918160797883699e-05,3.196030457413e-13,1.866231798869622e-05,0.1210881571915835,0.0080594305401102,0.0013610037910182,0.0010770876900547,3.67604263637807e-06,0.0152486935836829,3.9104574085897124e-07,0.012759818053518,0.0231340480828551,5.381691699065887e-19,3.506779752294546e-05,6.81391610284955e-07
30.0,30.0,cc,2.07,0.0,,6.81672094214833e-06,5.931505968419478e-08,5.083738818901292e-05,5.4059476172823586e-09,0.0001195824315302,1.1707105123576084e-16,0.0081402830822992,0.0026697863104989,1.1008070271410152e-11,0.418871437895388,0.340832681733359,3.2006073972519396e-11,1.8953037540326364e-14,8.449030713103593e-10,1.3747575397592225e-06,8.521706697627284e-12,5.903937067610443e-07,1.3805131914423924e-05,1.1252247259018845e-13,1.847330444051455e-05,0.1722027029930481,0.0041618350301772,0.0007065251328657,0.0006231626970817,4.188714378953881e-06,0.0089088226683933,3.794904570522829e-07,0.0121007307932589,0.0304716727134556,4.510923177334949e-22,9.415657108246758e-05,8.842841466680414e-08
40.0,40.0,cc,2.89,0.0,,7.221475608284051e-06,3.283309747522528e-08,4.960008157176891e-06,1.5661764887607466e-08,0.0001183146840573,8.282054490144327e-16,0.0129001725198349,0.0021565526223827,1.1985197928120898e-12,0.3773919250025894,0.320783829035949,6.415662725044022e-12,1.5149590132246806e-16,1.0135668843129942e-12,8.426622553986392e-06,5.588096146645485e-13,3.9359389947427205e-06,1.55911887160943e-05,5.2292368608171305e-14,1.927394474120368e-05,0.2258960294601483,0.0101194957631981,0.0013427065595314,0.0010062999239164,4.313050571458166e-05,0.0279447937837988,4.74453165498043e-07,0.0115643669315223,0.0082761388717199,1.4367849716170014e-21,0.0003962615212527,5.0678344214633447e-08
13.0,12.93,cc,1.65,0.001,,9.556885807069894e-06,0.0008045973910304,4.795195063739137e-05,2.2336213605587103e-08,0.0001149756595347,5.548599094086321e-12,0.0058352471686913,0.0067005804472176,7.935471697994476e-06,0.5708143476983378,0.3421467404607612,2.721118086077477e-07,1.1921510833140738e-07,5.6195079187740027e-11,8.509033754509375e-06,1.1442877684449584e-06,2.440727696712738e-06,0.0002035697689998,4.922830570056778e-07,2.0120319398683626e-05,0.044839027001226,0.0033786846033403,0.0005281075072844,0.0004221028068105,4.706559295462998e-05,0.0082581945302879,7.942651195224844e-07,0.009498829378849,0.0059842438951635,2.0652134008340466e-18,0.0003164296927458,7.897446953404011e-06
15.0,14.92,cc,1.53,0.001,,5.912311781901533e-06,0.0002673058111541,0.0001463110917972,3.792144624133202e-09,2.575224512664315e-05,2.449217817279732e-12,0.0049059004861817,0.0054695042485177,5.202516365394239e-06,0.5561314458623066,0.38519776493415,1.4780406212172718e-08,9.375853637620674e-09,2.8068670698413623e-14,8.009785790738044e-07,4.7439132059776573e-07,3.33301892510306e-07,0.0002791130416136,3.0590961948224145e-08,5.979346149469872e-06,0.0219758961285427,0.0012456415013283,0.0001853260641527,0.0001307506608445,6.061459517315276e-06,0.0032626626985627,1.2093895691523014e-06,0.0063491399691358,0.0142087105506781,6.763155569812364e-17,0.0001754240131242,1.731845576375793e-05
18.0,17.84,cc,1.7,0.001,,6.862467205986187e-06,0.0002770943476966,0.0001295319659385,2.2001841104393694e-08,0.0001017164327131,2.2293133085212437e-12,0.0037913200728988,0.0046139100336257,3.837647893252422e-06,0.5243255654737204,0.4053394228501075,2.0576369708897772e-08,1.1775633267140288e-08,3.613314890179405e-14,7.616975413323903e-06,2.429499074062628e-07,4.204471264927281e-06,0.0002030119175254,3.566777339599597e-08,1.7415541831928532e-05,0.0261747660675684,0.0049419432297783,0.0007816605245021,0.0005015547445284,1.1589702215553863e-05,0.0095528275454245,4.6865842839891634e-07,0.0080614745806498,0.0110048003134732,5.776258002618288e-18,0.0001431669097215,3.904552083314938e-06
