mass_final,remnant_mass,^1^H,^2^H,^3^He,^4^He,^6^Li,^7^Li,^9^Be,^10^B,^11^B,^12^C,^13^C,^14^N,^15^N,^16^O,^17^O,^18^O,^19^F,^20^Ne,^21^Ne,^22^Ne,^23^Na,^24^Mg,^25^Mg,^26^Mg,^27^Al,^28^Si,^29^Si,^30^Si,^31^P,^32^S,^33^S,^34^S,^36^S,^35^Cl,^37^Cl,^36^Ar,^38^Ar,^40^Ar,^39^K,^40^K,^41^K,^40^Ca,^42^Ca,^43^Ca,^44^Ca,^46^Ca,^48^Ca,^45^Sc,^46^Ti,^47^Ti,^48^Ti,^49^Ti,^50^Ti,^50^V,^51^V,^50^Cr,^52^Cr,^53^Cr,^54^Cr,^55^Mn,^54^Fe,^56^Fe,^57^Fe,^58^Fe,^59^Co,^58^Ni,^60^Ni,^61^Ni,^62^Ni,^64^Ni,^63^Cu,^65^Cu,^64^Zn,^66^Zn,^67^Zn,^68^Zn,^70^Zn,^69^Ga,^71^Ga,^70^Ge,^72^Ge,^73^Ge,^74^Ge,mass,Z,type
13.0,1.57,6.6,1.49e-16,4.12e-05,4.01,3.6499999999999994e-23,2.18e-10,1.77e-20,2.92e-21,2.94e-16,0.0741,8.39e-08,0.00183,6.39e-08,0.45,1.69e-06,5.79e-08,1.17e-10,0.0153,5.42e-07,1.99e-07,0.000144,0.0862,0.000156,7.17e-05,0.00378,0.0804,0.00075,0.00142,0.000488,0.0237,8.98e-05,0.000279,1.48e-08,5.48e-05,3.04e-06,0.00324,5.23e-05,8.01e-11,5.02e-06,1.14e-09,3.54e-07,0.00292,9.77e-07,6.46e-08,1.68e-05,1.07e-12,1.55e-17,2.12e-08,6.28e-06,8.76e-06,6.34e-05,2.27e-06,1.18e-12,1.36e-11,1.65e-05,1.04e-05,0.00088,4.96e-05,2.35e-10,0.000133,0.000729,0.07,0.000997,5.67e-11,0.000176,0.000385,0.00212,3.61e-05,1.94e-05,3.83e-15,4.89e-06,2.14e-07,0.000125,6.84e-07,1.62e-08,2.94e-08,6.94e-16,7.81e-09,8.53e-15,8.99e-09,1.73e-14,1.56e-14,4.13e-15,13.0,0.0,cc
15.0,1.48,7.58,1.69e-16,4.09e-05,4.4,1.11e-22,2.94e-10,3.22e-22,8.3e-20,3.3e-16,0.172,6.21e-08,0.00186,6.86e-08,0.773,1.57e-06,4.89e-06,1.97e-09,0.327,3.76e-05,1.61e-05,0.00245,0.0682,0.000298,0.000399,0.00137,0.0732,0.000239,0.000149,5.63e-05,0.032,7.55e-05,0.000202,1.43e-09,1.47e-05,5.83e-06,0.00528,6.23e-05,1.78e-11,7.86e-06,9.1e-10,8.05e-07,0.00441,1.23e-06,4.93e-08,2.21e-05,1.76e-12,4.21e-14,4.03e-08,2.71e-06,3.86e-06,8.39e-05,3.32e-06,9.55e-13,1.05e-11,1.08e-05,1.55e-05,0.00109,6.76e-05,4.13e-10,0.000186,0.00124,0.07,0.00114,1.76e-10,0.000132,0.000414,0.00162,3.14e-05,1.51e-05,9.97e-14,3.54e-06,2.42e-07,0.000122,1.07e-06,2.33e-08,3.25e-08,3.59e-14,5.62e-09,1.12e-13,6.57e-09,8.02e-13,1.19e-13,1.2e-13,15.0,0.0,cc
18.0,1.65,8.43,1.28e-16,3.33e-05,5.42,4.37e-23,7.34e-11,1.05e-22,3.9200000000000006e-21,7.14e-16,0.219,2.63e-09,0.000189,2.4e-08,1.38,2.79e-07,4.63e-06,7.91e-09,0.494,9.12e-05,2.57e-05,0.00208,0.157,0.000583,0.000877,0.00314,0.116,0.000442,0.000345,0.000132,0.0407,0.000103,0.000285,5.34e-09,2.64e-05,9.12e-06,0.00567,0.00017,3.96e-11,1.93e-05,1.96e-09,1.72e-06,0.0044,3.62e-06,3.39e-08,1.45e-05,9.27e-12,4.12e-16,5.54e-08,4.06e-06,5.3e-06,7.65e-05,3e-06,1.72e-12,4.61e-11,1.24e-05,2.64e-05,0.00113,6.43e-05,3.25e-09,0.000174,0.0014,0.07,0.000878,8.07e-10,0.000161,0.000383,0.00157,2.12e-05,1.35e-05,1.09e-14,3.92e-06,1.63e-07,9.5e-05,5.05e-07,1.3e-08,4.02e-08,6.59e-15,6.1e-09,1.84e-14,4.8e-09,5.74e-13,1.09e-13,4.87e-14,18.0,0.0,cc
20.0,1.66,8.77,8.66e-17,4.76e-05,5.94,3.65e-21,2.79e-10,4.4899999999999997e-23,1.57e-19,6.55e-17,0.211,1.14e-08,5.42e-05,1.13e-08,2.11,6.83e-08,2.53e-08,1.62e-09,0.912,4.3e-05,6.92e-05,0.0029,0.15,0.000116,0.000238,0.00137,0.0994,0.000182,0.00011,8.01e-05,0.0531,0.000198,0.00049,2.56e-09,6.88e-05,3.86e-05,0.00967,0.000386,1.06e-10,4.4e-05,1.3e-08,9.47e-06,0.00622,1.28e-05,7.43e-08,1.45e-05,1.3e-10,4.4e-16,2.55e-07,5.98e-06,4.26e-06,8.86e-05,3.94e-06,1.83e-12,1.36e-10,1.1e-05,2.22e-05,0.00136,8.28e-05,3.18e-09,0.000226,0.00142,0.07,0.000867,1.05e-09,0.00015,0.000378,0.00134,1.85e-05,1.19e-05,6.1e-14,3.44e-06,1.42e-07,8.29e-05,4.24e-07,1.05e-08,3.43e-08,2.51e-14,4.93e-09,9.21e-14,3.93e-09,3.33e-13,1.66e-13,1e-13,20.0,0.0,cc
25.0,1.92,10.6,2.02e-16,0.000211,8.03,2.6900000000000002e-21,5.68e-09,1.24e-17,2.87e-18,9.46e-16,0.294,1.47e-08,0.000591,1.18e-07,2.79,1.49e-06,6.75e-07,1.71e-09,0.533,1.33e-05,2.02e-05,0.00103,0.12,3.97e-05,5.09e-05,0.000808,0.351,0.000271,7.54e-05,8.47e-05,0.185,0.000274,0.000424,3.42e-10,5.42e-05,6.12e-05,0.031,0.000359,1.77e-11,6.3e-05,8.04e-09,2.08e-05,0.0248,7.46e-06,1.58e-08,9.79e-06,2.78e-11,1.26e-11,6.16e-07,3.18e-06,5.9e-08,0.000155,7.04e-06,2.24e-12,1.17e-10,9.01e-06,4.88e-05,0.00277,0.00015,9.32e-09,0.00043,0.00331,0.07,0.000467,2.31e-09,1.57e-05,0.000293,0.000148,5.77e-07,3.88e-07,3.27e-12,1.23e-07,7.79e-09,2.54e-06,1.59e-08,2.16e-10,8.05e-10,3.97e-14,8.74e-11,2.24e-13,6.84e-12,1.3e-13,1.39e-13,2.55e-13,25.0,0.0,cc
30.0,2.07,11.7,1.34e-16,0.000206,9.52,1.13e-22,2.36e-08,1.26e-20,5.18e-20,3.27e-15,0.338,1.02e-08,1.64e-06,1.68e-08,4.81,1.88e-08,2.07e-09,8.94e-10,0.851,5.51e-05,8.57e-05,0.00142,0.227,0.000244,0.000132,0.00263,0.248,0.000588,0.000255,0.000117,0.116,0.000165,8.42e-05,7.04e-10,2.3e-05,1.54e-05,0.0197,3.48e-05,4.66e-12,1.31e-05,9.94e-10,3.39e-06,0.0174,8.62e-07,1.93e-09,5.44e-06,6.05e-13,3.55e-16,1.51e-07,5.28e-07,3.8e-08,0.000181,8.84e-06,4.59e-14,2.64e-12,1.06e-05,3.82e-05,0.00312,0.000182,1.72e-10,0.000516,0.00409,0.07,0.000483,2.26e-10,2.47e-06,0.000382,3.6e-06,6.04e-09,1.64e-09,3.26e-14,2.37e-10,1.03e-12,3.02e-10,3.53e-12,6.31e-13,1.3e-12,1.86e-14,5.06e-13,2.34e-14,2.19e-12,8.32e-13,9.13e-14,2.97e-14,30.0,0.0,cc
40.0,2.89,14.0,3.46e-16,2.57e-05,11.9,7.54e-22,3.76e-11,5.33e-20,2.37e-17,3.07e-14,0.429,3.22e-09,5.89e-07,6.29e-07,8.38,1.42e-09,2.13e-07,2.38e-10,0.307,1.08e-05,6.75e-06,0.000184,0.478,0.000428,0.000126,0.0147,1.03,0.0026,0.00406,0.0016,0.373,0.00081,0.00159,3.19e-08,0.000216,9.66e-05,0.0487,0.00111,1.3e-10,0.000118,1.04e-08,2.8e-05,0.0373,2.17e-05,9.65e-09,8.71e-06,5.2e-12,1.3e-17,5.81e-07,1.08e-05,9.3e-08,0.000245,1.2e-05,9.41e-12,6.53e-10,1.76e-05,0.000178,0.00395,0.000261,8.59e-08,0.000715,0.0093,0.0702,0.000501,1.41e-08,1.88e-06,0.000574,4.38e-06,1.32e-09,5.36e-10,7.71e-15,2.06e-11,1.3e-13,4.36e-11,5.14e-13,8.47e-14,2.62e-13,4.45e-16,4.26e-15,1.36e-15,1.89e-12,4.61e-14,2.94e-15,8.35e-16,40.0,0.0,cc
12.93,1.65,6.44,7.19e-15,0.000143,3.86,2.37e-17,6.34e-10,2.33e-17,1.15e-11,5.11e-11,0.107,0.000167,0.00907,7.57e-06,0.504,6.96e-05,0.00181,3.07e-06,0.066,0.000185,0.00133,0.000541,0.0636,0.0014,0.000834,0.00357,0.0899,0.00142,0.00185,0.000531,0.037,0.000196,0.000922,7.49e-07,8.16e-05,1.44e-05,0.00569,0.000268,1.76e-07,2.51e-05,2.66e-08,2.41e-06,0.00473,6.62e-06,4.15e-07,2.48e-05,6.65e-08,3.16e-07,2.52e-07,3.99e-06,2.55e-06,9.68e-05,3.85e-06,6.32e-07,1.1e-08,8.95e-06,2.1e-05,0.0012,7.43e-05,1.87e-06,0.000227,0.00153,0.0726,0.00141,5.68e-05,8.91e-05,0.000509,0.00162,5.05e-05,0.000101,1.62e-05,8.05e-06,4.86e-06,7.15e-05,9.89e-06,1.04e-06,6.87e-06,2.29e-07,7.11e-07,6.34e-07,8.84e-07,1.57e-06,2.4e-07,2.86e-06,13.0,0.001,cc
14.92,1.53,7.45,3.38e-12,0.000153,5.16,1.11e-17,3.76e-13,9.06e-16,6.01e-12,2.68e-11,0.085,5.38e-05,0.00358,8.59e-07,0.294,2.56e-05,0.000366,1.98e-07,0.19,6.75e-05,0.000274,0.00196,0.0637,0.00088,0.00114,0.00235,0.0429,0.000382,0.000425,8.12e-05,0.0164,4.76e-05,0.000239,1.55e-07,8.1e-06,2.63e-06,0.00246,2.26e-05,4.9e-08,4.15e-06,1.95e-09,3.13e-07,0.00173,4.05e-07,3.35e-07,2.07e-05,1.41e-08,9.66e-08,5.08e-08,1.24e-05,1.28e-05,5.19e-05,1.94e-06,1.62e-07,1.12e-09,1.62e-05,1.33e-05,0.000303,2.82e-05,4.8e-07,8.01e-05,0.000707,0.0708,0.00175,1.31e-05,0.000232,0.000911,0.00257,6.92e-05,0.000187,1.83e-06,5.47e-06,8.85e-07,6.5e-05,3.96e-06,1.41e-07,5.82e-07,1.05e-08,7.43e-08,5.13e-08,1.01e-07,9.8e-08,2.18e-08,1.89e-07,15.0,0.001,cc
17.84,1.7,8.46,3.07e-15,0.000157,6.54,8.84e-18,5.83e-13,9.32e-17,6.57e-12,2.94e-11,0.13,7.2e-05,0.00447,9.21e-07,0.422,2.42e-05,0.000306,3.32e-07,0.177,8.76e-05,0.000475,0.00209,0.0593,0.000946,0.000927,0.00231,0.153,0.000601,0.000534,0.000187,0.0788,0.000301,0.000637,3.2e-07,8.16e-05,4.13e-05,0.0122,0.000412,1.03e-07,5.69e-05,3.92e-08,1.09e-05,0.00806,1.35e-05,2.45e-07,1.87e-05,2.55e-08,1.22e-07,3.55e-07,5.11e-06,1.5e-06,9.98e-05,4.13e-06,1.86e-07,1.81e-09,7.56e-06,2.99e-05,0.00152,9.07e-05,5.96e-07,0.000281,0.00206,0.0711,0.00127,1.55e-05,6.3e-05,0.00176,0.00117,4.63e-05,0.000297,2.3e-06,2.78e-06,1.14e-06,5.32e-05,7.73e-06,1.87e-07,7.86e-07,1.75e-08,1.13e-07,7.7e-08,1.46e-07,1.37e-07,3.05e-08,2.62e-07,18.0,0.001,cc
