mass,lifetime,type,Z,mass_final,remnant_mass,Ce,Kr,He,Cd,Na,Zr,Os,Ar,Ge,In,Rh,Mn,Pb,Dy,Si,Fe,Hf,N,I,Nb,S,Rb,Br,Xe,Tm,Cs,O,Nd,Ho,W,Ga,V,H,Te,La,Cu,Sb,Cl,Lu,Ti,B,Sm,Th,Ni,Ta,Mo,Au,Al,Pd,Ag,C,Se,Eu,Ne,Pt,Li,Hg,U,Bi,Yb,Co,Sr,Zn,Sn,Be,K,Cr,As,Ru,F,Tl,Ca,P,Pr,Y,Sc,Gd,Er,Ba,Mg,Tb,Re,Ir
13.0,,cc,0.02865003477107615,13.0,1.33882,1.209219581551781e-08,4.26662636199767e-07,0.3711304438315848,1.0577914927991853e-08,0.0003229673154860829,6.886567225615247e-08,6.623632779873049e-09,0.000752753491499145,1.2956759092990589e-06,1.1205103600150241e-09,1.937248203012045e-09,8.949094345512204e-05,2.803572108483018e-08,3.506332343725077e-09,0.007036788729785494,0.011155832514376761,1.891988478009944e-09,0.005160136444167744,6.6834316938766066e-09,5.079357320614209e-09,0.0042569171927712285,7.889295937460874e-08,1.0425514399057386e-07,3.794149648663343e-08,3.609506070569188e-10,2.5912043206605162e-09,0.03855745593499115,8.142838031828683e-09,7.490219686172411e-10,1.7140351147997028e-09,6.795315739916544e-07,3.0675586861706957e-06,0.5374138855687417,3.100455408457806e-08,4.57886208771325e-09,1.288158659758275e-05,2.0851577627650036e-09,2.549768548294427e-05,3.591941810348523e-10,2.126786740278428e-05,4.2199357183406824e-08,2.4352338271084057e-09,1.7634150231794724e-15,0.0012190180582068025,2.3557156994403654e-10,1.4732308394176233e-08,2.0043254627747793e-09,0.0003194685271987912,8.20249065703471e-09,2.7053694394563845e-09,0.008929677785610032,6.089962250818529e-07,7.413615088695999e-10,0.009127802332182506,1.2745718263503349e-08,3.575081492610525e-08,6.872307948252234e-09,3.4256493613853823e-16,1.4423754714359953e-09,2.722344822736636e-09,4.620604432827553e-05,1.6853085279534322e-07,1.3384379625389539e-05,2.5977391138804137e-08,1.428105903519198e-11,1.932169754690349e-05,0.00016241868318643568,9.58359274104336e-08,9.884362474466563e-09,1.3353708629829914e-06,2.7467031638307616e-09,0.0004999527445764493,7.393857225426587e-05,1.5709130636865224e-09,3.274934440596921e-08,2.1161323296613205e-07,3.062084368820308e-09,2.4201761657053576e-09,4.675624507982897e-08,0.0036432127794957287,5.0864235008807e-10,5.656931802784967e-10,6.1271929598891365e-09
13.0,,cc,0.02322040452907957,13.0,1.58503,8.808323017931716e-09,2.948261782553962e-07,0.3703640197915544,8.189493270678767e-09,0.00021750648490534799,5.1634134824708256e-08,5.287819705176622e-09,0.00036162904676928623,9.216975603089628e-07,8.853664091977464e-10,1.6024571242850397e-09,4.2778299023124895e-05,2.4370251520590942e-08,2.8040308034099075e-09,0.0040693028540591866,0.005192916407139047,1.4037595017770525e-09,0.004295522353541008,5.458770369085508e-09,3.948621853583496e-09,0.002033236940613948,4.888124979741514e-08,7.306431817166405e-08,3.05868050463558e-08,2.875303220244994e-10,2.1179906736504783e-09,0.03338921915694917,6.128762493462532e-09,6.048688695633891e-10,1.272418718577447e-09,5.080416330485319e-07,1.4878417464084444e-06,0.5596055066891547,2.4953052088616963e-08,3.3482959131736652e-09,9.656083196013657e-06,1.6662084963867623e-09,1.4985926375627795e-05,2.8430771171540525e-10,1.4845502003071408e-05,4.028047467492248e-08,1.8821398566969517e-09,4.916885458306067e-14,0.0004940216224834581,1.8052943984960105e-10,1.1791743648910159e-08,1.6133288129535163e-09,0.00023740316444108043,6.4690656217230526e-09,2.192138919331369e-09,0.008941955169395978,4.21009455127784e-07,6.101969606578029e-10,0.007310673878249352,1.0283844039887972e-08,3.317001312311815e-08,5.121218890632214e-09,7.514229449573673e-14,1.1948783045421933e-09,2.0821676535286554e-09,2.6724730770207893e-05,1.1955683632983704e-07,9.821536105657746e-06,1.9976042074574e-08,1.1492540059238e-11,9.625802257912199e-06,8.057064538934399e-05,6.510880011073179e-08,7.945772963047644e-09,9.477992495819086e-07,2.0304775220609427e-09,0.0002581756811450227,5.549808716098246e-05,1.2143352106926258e-09,2.4102209642250484e-08,1.676246192499849e-07,2.4557204267729128e-09,1.9091324637734484e-09,3.3580559826263226e-08,0.002959550485020985,4.1411935379593634e-10,4.51585067678671e-10,4.997349971134395e-09
13.0,,cc,0.018846084510616166,13.0,1.60083,6.379749051904657e-09,2.2675122223811033e-07,0.36383652879990386,6.30284327718597e-09,0.00020010930620387274,3.921630259045176e-08,4.16168188561097e-09,0.000333460234385486,6.802265428096959e-07,6.896648615644824e-10,1.2548896103839139e-09,3.4887276880685175e-05,2.1495488706633906e-08,2.1936199477681274e-09,0.0037834833588761287,0.004689484322104153,1.0413043142614768e-09,0.0034980456998184957,4.348141136591524e-09,2.960671698027137e-09,0.001918222987287671,3.6934969826750544e-08,5.413008140066337e-08,2.425478153233963e-08,2.2642087099323898e-10,1.681464527680524e-09,0.034930975088537146,4.533517791207606e-09,4.784111474782813e-10,9.433999492945538e-10,3.835042375892279e-07,1.2440245912641009e-06,0.5665956452291614,1.9765390199461893e-08,2.471774234439876e-09,7.813454839255841e-06,1.3191644654830133e-09,1.2896535449510798e-05,2.2158389602049976e-10,1.3454783988658822e-05,4.0421922824205626e-08,1.4362502708530536e-09,2.3112209046799024e-14,0.0004210062750182689,1.3615196457285927e-10,9.085849232882743e-09,1.2843128052305562e-09,0.00021576746377148512,5.0246259157464965e-09,1.7282916212320723e-09,0.008962942916019324,3.255052604707185e-07,4.801226755983111e-10,0.007383890055153139,8.173748343081118e-09,3.32939705434694e-08,3.814606677503713e-09,1.9231197376651108e-14,9.705092563756835e-10,1.582844110579981e-09,2.4687586903256994e-05,8.97119956979324e-08,8.237846264245553e-06,1.5392162324099034e-08,9.061010582349416e-12,8.166014981792534e-06,6.991927482439511e-05,4.921612713908118e-08,6.197795102625893e-09,9.054255704582001e-07,1.5304754644417094e-09,0.00023721823466094462,4.803560259211855e-05,9.056361121028987e-10,1.803008464651374e-08,1.3136307292548493e-07,1.9191712115882123e-09,1.4920702121294796e-09,2.4479864586632187e-08,0.0027609115400507233,3.263781485845022e-10,3.5273796250077857e-10,3.9923345296192625e-09
13.0,,cc,0.015303226470930074,13.0,1.45152,4.621806419546122e-09,1.8261057126132618e-07,0.35040550462052145,4.829028668707917e-09,0.00015207715647427194,3.019836376735294e-08,3.2194901666712847e-09,0.0005274834038765275,5.573513570617086e-07,5.289161863725789e-10,9.664735099337749e-10,6.231270262406827e-05,1.9057512330627063e-08,1.6864236678766384e-09,0.006294863046911801,0.009133565283050238,7.826710787913215e-10,0.00276105638144587,3.390324960514284e-09,2.2154170938513127e-09,0.0034783281150419796,3.1693002022777026e-08,4.5425198814043054e-08,1.9017245386405832e-08,1.7592271883399372e-10,1.3098260550306188e-09,0.04446118184384439,3.31418507024301e-09,3.7124799107761365e-10,6.939632142065449e-10,2.956163928066724e-07,2.137065380032697e-06,0.5604599122903621,1.542548110227493e-08,1.828857061708554e-09,6.682983388290061e-06,1.0288089861176536e-09,1.3114972706364821e-05,1.6977414343705842e-10,1.5827230077031784e-05,4.6808874414641585e-08,1.096011682922774e-09,1.2465363407132368e-15,0.0007289615776275319,1.0123274751309262e-10,6.8757550777245145e-09,1.0178222588600405e-09,0.00028121189974784563,3.856273899249078e-09,1.331220212530134e-09,0.009097099531713265,2.5694949465211007e-07,3.718792429826263e-10,0.007948211626118761,6.385620834949708e-09,3.5538309214719166e-08,2.9553404430712957e-09,2.992962789042368e-16,7.797727493141954e-10,1.1946283493585305e-09,3.079695336529136e-05,7.078092961151598e-08,6.917193691290977e-06,1.1837607286846406e-08,6.989595167502563e-12,7.766393759178697e-06,0.00012249226738064232,4.0061895591454455e-08,4.777961255507218e-09,9.311008894677048e-07,1.1516078306409156e-09,0.0003643433961872039,5.9706299010778906e-05,6.648675843054671e-10,1.389039942918895e-08,1.0543725234836101e-07,1.4720843349081436e-09,1.1514035613344786e-09,1.8097644451910553e-08,0.0035747431696638867,2.518305439330544e-10,2.7021997700130235e-10,3.122047230458034e-09
13.0,,cc,0.009892250062533043,13.0,1.56172,2.4712551974597582e-09,1.0822139255202706e-07,0.34286152035096185,2.876319166867746e-09,6.601184793517906e-05,1.764871816391975e-08,2.012079998041664e-09,0.000508884449410226,3.020887755851404e-07,3.2180729969890576e-10,6.066917403665586e-10,4.809324478855213e-05,1.5558465083911215e-08,1.049920042174173e-09,0.005729857111383879,0.010567445017957243,4.4215463338893614e-10,0.001834832973139318,2.164722318390527e-09,1.26332805281913e-09,0.0031265613562528626,1.794989281605276e-08,2.4989946040838304e-08,1.2049507705704005e-08,1.0991425284221053e-10,8.354743895061145e-10,0.045395898570414435,1.853616103120399e-09,2.339792346401732e-10,3.879682259920198e-10,1.6752571190773437e-07,1.5264518441583873e-06,0.5688897361840066,9.720737208741172e-09,1.0078622485198823e-09,4.565581538483058e-06,6.433816972481876e-10,9.99158090202373e-06,1.0504598593494825e-10,1.7029563885479284e-05,4.675325923128303e-08,6.562096748811885e-10,4.297770294135132e-15,0.0007401689152564897,5.909725220924823e-11,4.168838321845592e-09,6.50374007280815e-10,0.0003109409806369489,2.349465916204184e-09,8.340755777966617e-10,0.009380629780001887,1.5062565350734552e-07,2.353675552618051e-10,0.005796688750406529,4.05654034522673e-09,3.4431360903912124e-08,1.734292218760163e-09,1.8313563158097197e-15,5.243874078969914e-10,7.069746675199417e-10,2.824113415653402e-05,4.0973367499309326e-08,6.041562367768579e-06,7.032051234975888e-09,4.589693555324752e-12,6.374415121853986e-06,0.0001086785661830275,2.3555901761453643e-08,2.9501774742356366e-09,5.857908706553782e-07,6.50862717121805e-10,0.0003842394352997128,5.66248596817004e-05,3.831214133593512e-10,7.79938067611564e-09,7.29899075735163e-08,9.145981825938864e-10,7.129134625135947e-10,9.714903551932633e-09,0.004117529034085544,1.5840231223575574e-10,1.6733258846609805e-10,2.000730879118189e-09
13.0,,cc,0.0062947699060105534,13.0,1.5899,1.3441494290146448e-09,6.915220462572633e-08,0.3351393778319208,1.7346680572475263e-09,5.9938563202776484e-05,1.062753700668706e-08,1.2562182101822071e-09,0.0005271609809729976,1.9522738626304765e-07,1.9723876214932384e-10,3.8121927064618187e-10,4.2570441976845084e-05,1.335481634692071e-08,6.550586331408138e-10,0.00565279270120332,0.01110241711290874,2.5612204099876427e-10,0.0012095187947520178,1.3731606208534545e-09,7.534500135844558e-10,0.003282103381477814,1.2104118281171943e-08,1.7356885566296527e-08,7.615682334072444e-09,6.89750308936819e-11,5.323476569004655e-10,0.05078004249743649,1.066279173714516e-09,1.4718977046651652e-10,2.206545691974654e-10,9.830746443940019e-08,1.3050635577251735e-06,0.5685349022445991,6.115770852139771e-09,5.75624955083654e-10,3.6907301425929658e-06,4.054714682605762e-10,8.63169472660187e-06,6.482310409198869e-11,1.638079683788924e-05,5.040183784541766e-08,3.973051068789932e-10,2.241926012918379e-15,0.0006592615752710317,3.468531529083882e-11,2.5250655121339865e-09,4.148500013146248e-10,0.0002565507751904015,1.4331576410373268e-09,5.204792245466735e-10,0.010037333415132207,9.605789607453046e-08,1.4882752999535497e-10,0.007988093268244801,2.567634051410592e-09,3.161027120708846e-08,1.0700595086809054e-09,8.226619933217062e-16,3.6294598645060077e-10,4.2388047431661423e-10,2.2584990490880886e-05,2.5705035012839503e-08,5.684505920193512e-06,4.227523860439436e-09,3.152373774112409e-12,5.318739099569679e-06,0.00010663005144564902,1.6189691589030773e-08,1.827283547032892e-09,7.891683683753866e-07,3.8625691273520836e-10,0.00039729813722053276,4.0225852534158336e-05,2.2243100411039344e-10,4.892472458611231e-09,4.4440188955399166e-08,5.669637777057169e-10,4.4396749371171156e-10,5.4481782806460945e-09,0.004118149709467927,9.915951656865409e-11,1.0392292793227054e-10,1.2725602755453501e-09
13.0,,cc,0.004163189861658025,13.0,1.61978,7.330291593659877e-10,4.133693548982357e-08,0.33015597255589085,1.0463752018853768e-09,6.627051146638642e-05,6.2182945496660004e-09,7.931385298350998e-10,0.0006014885494305031,1.1282150081457126e-07,1.211932370375968e-10,2.4219127573983635e-10,4.504508700183301e-05,1.1824256473073456e-08,4.12992138113323e-10,0.006062946498398098,0.012152531330677261,1.5022487262987888e-10,0.0008089300646208949,8.774707343091786e-10,4.414220463224788e-10,0.003753412403275156,6.971956605408332e-09,9.918323195860888e-09,4.837977121707665e-09,4.361066833505855e-11,3.3977638393633865e-10,0.053349048814522036,6.230501695046317e-10,9.353861348901866e-11,1.280637456920868e-10,5.626472950435053e-08,1.3089089929720166e-06,0.5683888434302237,3.864454826005122e-09,3.279575966018232e-10,2.6171462414610614e-06,2.5611631409586105e-10,7.873714216421123e-06,4.058635949041407e-11,1.633139236324078e-05,5.615295837866052e-08,2.453540441221699e-10,5.68153339742114e-15,0.000634519329151809,2.096349850881618e-11,1.5424780891757805e-09,2.6902291871334656e-10,0.00018659129612608543,8.772264508067506e-10,3.2829242316932363e-10,0.010779552943616206,5.698343265771664e-08,9.45438664630385e-11,0.008824207352757681,1.636291670108311e-09,2.9200578574052177e-08,6.849966872345174e-10,3.6451112456525445e-15,2.5763385945087175e-10,2.5728087769832213e-10,2.0710408058895173e-05,1.5032048325955034e-08,4.619898385092732e-06,2.5339590974515433e-09,2.3671510744080516e-12,4.635727428819478e-06,0.0001224142230993777,8.947893801701548e-09,1.1346038125800731e-09,8.348256887828179e-07,2.34936670820072e-10,0.00046221158004854036,3.422025233255597e-05,1.3153612144580684e-10,2.902158306254185e-09,3.032445769941179e-08,3.562048976206084e-10,2.7824985105736094e-10,3.0396384252677017e-09,0.003511644766094153,6.293525081237446e-11,6.54410898910566e-11,8.148858282177323e-10
13.0,,cc,0.002787986920611889,13.0,1.72022,4.117289610258356e-10,2.4511002962823742e-08,0.32886711770974253,6.359756129995443e-10,3.728051433627252e-05,3.637277500093087e-09,5.070143921246691e-10,0.0004733515056144712,6.21004221713544e-08,7.54658601497547e-11,1.5333011814060205e-10,2.5368491229438872e-05,1.0983394179673717e-08,2.6280902553063977e-10,0.0046529489050318356,0.007392891137947726,9.117327022335542e-11,0.0005474705712345453,5.634808480307239e-10,2.4633015892153924e-10,0.002736985610978228,4.0430398465218284e-09,5.614870148176649e-09,3.0947220956437092e-09,2.8100282097700486e-11,2.163845394147758e-10,0.05925458664973962,3.670154027826784e-10,6.028716872137577e-11,7.617161859539813e-11,3.25315741973691e-08,9.565951614304535e-07,0.5716131057905384,2.475764305686813e-09,1.921280379581871e-10,3.3725870540028257e-06,1.6056004638388336e-10,5.366026642363592e-06,2.5761716097299768e-11,1.7133766084090292e-05,4.85065719366867e-08,1.5040591217204588e-10,6.137903398825154e-16,0.0003309597766977724,1.2787762793245965e-11,9.22813210895957e-10,1.7750878119963332e-10,0.0002102292775213701,5.44206544808498e-10,2.0733294443685956e-10,0.010805866337818644,3.251218463480671e-08,6.021943690391124e-11,0.008334329747566,1.0597346747897566e-09,2.598478346120226e-08,4.4366884815129365e-10,2.7814506311293304e-16,1.8668449207342694e-10,1.5994018057089764e-10,1.3372246621831276e-05,8.835410353748035e-09,9.220402241887696e-06,1.5401819804996197e-09,1.6327534756883555e-12,2.7840634480459724e-06,0.00010253254531560012,4.4509467383229105e-09,7.089043403328789e-10,7.006457572754078e-07,1.4504520478236276e-10,0.0003986957469782212,2.65696671388981e-05,7.697561477262855e-11,1.6513176675431613e-09,2.0219011363696807e-08,2.2571842358627558e-10,1.7772213465156235e-10,1.788088686126857e-09,0.004137001785495816,4.0274012436412765e-11,4.133316429930371e-11,5.270865211910161e-10
13.0,,cc,0.0018743755348960272,13.0,1.75158,2.294400724724006e-10,1.411849388625247e-08,0.32853044516474317,3.869007469493494e-10,3.057460514454475e-05,2.074863758643436e-09,3.2554489074910077e-10,0.00042048893636617405,3.217402977484838e-08,4.721463992276249e-11,9.77870669836297e-11,1.8437967287850207e-05,1.0361147610064348e-08,1.6818311860687989e-10,0.004383873912958442,0.006288615627794838,5.628808401535505e-11,0.0003747493247940599,3.6302165104076843e-10,1.372157156293951e-10,0.002498808138298534,2.2711456364538308e-09,3.083473056660402e-09,1.9794880080935813e-09,1.8133835685367366e-11,1.388088282621026e-10,0.06161476401130115,2.1930395557776118e-10,3.893453480577716e-11,4.644110639538709e-11,1.7555896739275386e-08,6.959660130044931e-07,0.572171920390686,1.5843175663782115e-09,1.1048327942946654e-10,5.404305671374291e-06,1.0129956029380126e-10,4.560497385410573e-06,1.6359278014156656e-11,1.582566604909845e-05,4.3095749803083465e-08,9.49002526577066e-11,1.1452986286073954e-16,0.00027723446848535176,7.954163340273568e-12,5.557183142165744e-10,1.1918296080694002e-10,0.0002061036127740607,3.369146511243357e-10,1.3173805743384404e-10,0.01045672583349484,1.769838608444564e-08,3.856843894520297e-11,0.007933684908636057,6.864108994863279e-10,2.3389202798259665e-08,3.1001162829979676e-10,3.118543635461691e-17,1.3945958632412373e-10,1.0005976928315268e-10,1.2715919213542881e-05,4.99561556200782e-09,1.1542784088787581e-05,9.375726190878363e-10,1.181614840128658e-12,2.1103195648811126e-06,8.253002163859459e-05,2.1865026377037843e-09,4.424223135338119e-10,6.792082799184241e-07,9.272475601017743e-11,0.0003510282845833459,2.4226246886229357e-05,4.607527101584045e-11,9.18946838756021e-10,1.4273115690914813e-08,1.4385694968715607e-10,1.1353232542881577e-10,1.0355152368065915e-09,0.004282093396228093,2.5944088147490938e-11,2.629720440737455e-11,3.4089320989081136e-10
13.0,,cc,0.0007006202959780097,13.0,1.77094,5.567788220919649e-11,3.903580085955548e-09,0.3279695406383081,1.168567360046166e-10,2.0927130142683358e-05,5.248158795126218e-10,1.082250936409637e-10,0.0004559862147855653,7.48096189707776e-09,1.4941519592913386e-11,3.208193740170593e-11,1.6026719956968793e-05,9.580329965286498e-09,5.5716395762423566e-11,0.004372280226483784,0.005976466557307557,2.0058226601336175e-11,0.00014303882960817736,1.210858255276933e-10,3.4430931885660956e-11,0.002628092224594044,5.813318300908536e-10,7.375630729553499e-10,6.577165942652368e-10,6.126861910079739e-12,4.760621102745911e-11,0.06219187459146179,6.475532235111398e-11,1.3083107579797418e-11,1.535524968252017e-11,6.033090926578003e-09,6.352936372234185e-07,0.5721877040447553,5.202253189492264e-10,2.8293135845743095e-11,6.030446894040997e-06,3.252480617255585e-11,3.9586911103868e-06,5.5309518339023934e-12,1.6109463891011356e-05,4.124370722037286e-08,3.2229049448484554e-11,1.6292102811811497e-15,0.0002516534444557247,2.6848469061524293e-12,1.657642759055522e-10,4.6604524332401825e-11,0.0001667316765606382,1.0413717621955891e-10,4.308606419415338e-11,0.011007653267504134,4.4314842025957645e-09,1.2815578507907161e-11,0.007845803433234839,2.3015447677721908e-10,1.6332998515458996e-08,1.580025220276675e-10,1.2921712414040003e-15,8.313661161308247e-11,3.3312406381299946e-11,1.701371263489553e-05,1.1704951260390453e-09,1.7752695278144386e-05,2.7574677488587643e-10,8.648408682472086e-13,1.8641052768441883e-06,8.994391943760207e-05,3.8598689471781256e-10,1.3960250457295625e-10,5.822784810126583e-07,3.715671659070305e-11,0.00039287166704033994,1.9163224704472148e-05,1.3575757899592662e-11,2.0545620025184652e-10,9.64176876782206e-09,4.7395355800040254e-11,3.7912412971343993e-11,2.650854479359804e-10,0.004199994211447797,8.682952980926276e-12,8.751783319351754e-12,1.145180451435828e-10
